zone_id,heat_raw,infra_raw,vuln_raw,heat_score,demand_score,infra_score,outage_score,vuln_score,grid_heat_risk
Z00046,90.67014493750152,4.0,92.0151099590954,93.55296771472035,100.0,40.0,100.0,58.73478710920684,81.93936902533679
Z00038,90.31475474058944,10.0,93.06211464535512,49.30074753658369,100.0,100.0,100.0,64.9202633333351,81.28225059430862
Z00006,90.61867272638568,3.0,96.15421097004166,87.1437880605134,100.0,30.0,100.0,83.18769666010287,80.4619060841643
Z00014,90.53425333984669,3.0,98.07674844070218,76.63211578343294,100.0,30.0,100.0,94.54563036453364,78.44419777148325
Z00022,90.31279234637849,3.0,98.87656280740175,49.056395549799156,100.0,30.0,100.0,99.27075988292168,70.64399465323191
Z00030,90.29885907290394,3.0,94.22578875270196,47.32146225407158,100.0,30.0,100.0,71.79499715075566,67.37593839129704
Z00036,90.16031988398912,4.0,98.0,30.070939464114943,100.0,40.0,100.0,94.0922172505025,66.43050356428473
Z00037,90.32218393098825,2.0,98.0,50.2258101076111,73.61078233489765,20.0,100.0,94.0922172505025,61.87966034105799
Z00035,90.00257146345987,3.0,98.00018268540585,10.428535428585674,100.0,30.0,100.0,94.09329651619174,58.53789028019487
Z00044,90.44640886005416,1.0,98.0,65.69396021530329,36.8053911674486,10.0,100.0,94.0922172505025,55.31875758150339
Z00045,90.72192114362498,0.0,98.0,100.0,0.0,0.0,100.0,94.0922172505025,54.40922172505025
Z00032,90.11823368371374,2.0,97.09114466624452,24.83048033713485,73.61078233489765,20.0,100.0,88.72289738795305,53.72412942366017
Z00033,90.0941763149265,2.0,98.3624790941748,21.83492224428478,73.61078233489765,20.0,100.0,96.23366499012187,53.57653875602203
Z00052,90.36287670861957,1.0,98.0,55.29276403894491,36.8053911674486,10.0,100.0,94.0922172505025,52.198398728595876
Z00003,90.58913631492166,0.0,98.97804854742208,83.46599448394694,0.0,0.0,100.0,99.87031558713373,50.02682990389746
Z00034,90.00100375416484,2.0,98.18896647121328,10.233328533455147,73.61078233489765,20.0,100.0,95.20859010936971,49.993553154697935
Z00005,90.6094307296076,0.0,97.6099705834798,85.99299977242028,0.0,0.0,100.0,91.78800819178784,49.97670075090486
Z00002,90.60737267621056,0.0,97.40148478835508,85.73673656410638,0.0,0.0,100.0,90.55631940783476,49.77665291001539
Z00004,90.5998606498443,0.0,95.74519520504404,84.80135948383816,0.0,0.0,100.0,80.77132037937741,48.517539883089185
Z00013,90.53138785241347,0.0,96.54977275884936,76.27531308624556,0.0,0.0,100.0,85.52458977238136,46.4350529031118
Z00012,90.48423523491614,0.0,96.6837924299277,70.40399747428573,0.0,0.0,100.0,86.31634887327137,44.75283412961286
Z00011,90.43534283012404,0.0,98.25571783136542,64.31604828295286,0.0,0.0,100.0,95.60294264338202,43.855108749224065
Z00015,90.42245205024018,0.0,96.76073116488676,62.71092345214715,0.0,0.0,100.0,86.77088620443064,42.490365656087214
Z00007,90.5718128071424,0.0,85.92461586716229,81.3089184386124,0.0,0.0,100.0,22.75347117696793,41.668022649280516
Z00039,90.33146954917412,1.0,82.07317580212211,51.382030014692305,36.8053911674486,10.0,100.0,0.0,41.61595679626984
Z00021,90.316610095476,0.0,98.0,49.53177127798664,0.0,0.0,100.0,94.0922172505025,39.26875310844624
Z00010,90.30390219551444,0.0,98.71405251827365,47.9494181574261,0.0,0.0,100.0,98.31068440019479,39.21589388724731
Z00029,90.29931002846207,0.0,98.0,47.37761401296252,0.0,0.0,100.0,94.0922172505025,38.622505928939006
Z00023,90.31543176497996,0.0,96.51285669218134,49.385048771271265,0.0,0.0,100.0,85.30649767054078,38.346164398435455
Z00050,90.2197052514222,0.0,98.163915320924,37.46544380847173,0.0,0.0,100.0,95.06059335583568,35.74569247812509
Z00051,90.2192298711526,0.0,98.0,37.40625075097861,0.0,0.0,100.0,94.0922172505025,35.63109695034383
Z00042,90.16363847631855,0.0,98.31743416559952,30.484161549922735,0.0,0.0,100.0,95.96754933813249,33.74200339879007
Z00020,90.15756954217328,0.0,98.0,29.728474385851094,0.0,0.0,100.0,94.0922172505025,33.327764040805576
Z00043,90.15682391223451,0.0,98.0,29.635630574996906,0.0,0.0,100.0,94.0922172505025,33.299910897549324
Z00031,90.31066259574506,0.0,88.16881970925647,48.791204796722894,0.0,0.0,100.0,36.01173992164796,33.23853543118166
Z00049,90.1375221173476,0.0,98.89662915465664,27.232223602631105,0.0,0.0,100.0,99.38930750307951,33.108597831097285
Z00041,90.1296571017542,0.0,99.0,26.25289326440705,0.0,0.0,100.0,100.0,32.875867979322116
Z00028,90.14141303349696,0.0,98.0,27.71670989300199,0.0,0.0,100.0,94.0922172505025,32.724234692950844
Z00040,90.11983022904916,0.0,98.98542958317984,25.029277817541228,0.0,0.0,100.0,99.91392114285685,32.50017545954805
Z00048,90.12014690929064,0.0,98.9140772576284,25.068709979412635,0.0,0.0,100.0,99.49238710482759,32.46985170430655
Z00056,90.12009554507408,0.0,98.0609753353475,25.06231424694662,0.0,0.0,100.0,94.45244628481332,31.963938902565317
Z00057,90.11390162242516,0.0,98.000042638612,24.29106385453891,0.0,0.0,100.0,94.09246915015893,31.696566071377568
Z00025,90.09791035451676,0.0,97.49720766763954,22.29987469243227,0.0,0.0,100.0,91.12182938280377,30.802145346010057
Z00024,90.11737931231303,0.0,96.0,24.724096335363125,0.0,0.0,100.0,82.27665175150747,30.644894075759684
