county,heat,outages,vulnerability,heat_score,outage_score,vulnerability_score,composite_score
Harris,36.1,560269098,56.79889729055852,80.8219178082192,100.0,56.61056982841362,79.14416254554426
Polk,35.3,7268745,83.37054772835207,69.86301369863011,1.257293295935167,100.0,57.04010233152175
Hidalgo,35.8,1311104,79.34349557415706,76.71232876712325,0.19350808364776823,93.42413830669489,56.77665838582196
Gregg,37.5,3931039,60.85133405770856,100.0,0.6613187674661095,63.227882612377314,54.62973379328113
El Paso,36.0,839522,71.22930268848572,79.45205479452055,0.10930328547666057,80.17429496573097,53.24521768190939
Liberty,35.2,9998937,75.33017546485891,68.49315068493155,1.7447912630509026,86.87069997036416,52.369547306115535
San Jacinto,34.8,7275108,78.9077568134172,63.01369863013695,1.2584294612908482,92.71261093746212,52.328246342963304
Jefferson,36.2,2535298,65.69264773948585,82.19178082191785,0.4120978701372462,71.13336979413873,51.24574949539794
Dallas,36.5,8653407,58.62390243209336,86.3013698630137,1.5045359477861757,59.59066070898549,49.13218883992845
Cameron,34.3,596052,76.19860188596054,56.1643835616438,0.06582973854162151,88.28877250017419,48.172995266786536
Smith,36.8,9409274,52.18204945731611,90.41095890410955,1.639502142804647,49.071617848660495,47.04069296519156
Tarrant,37.2,3686613,46.175886319490374,95.89041095890416,0.6176745189626229,39.264022468842384,45.25736931556972
Wharton,34.6,3721228,65.755683183544,60.27397260273975,0.623855308493803,71.23630175181665,44.044709887683396
Walker,34.8,5360896,60.93703195045477,63.01369863013695,0.9166313538212832,63.36782057904104,42.432716854333094
Bexar,35.1,1556774,55.248155093768354,67.1232876712329,0.23737445845998761,54.07832891928073,40.4796636829912
Montgomery,35.7,82160093,38.849560865348444,75.3424657534247,14.629752047758156,27.30070511860843,39.0909743065971
Nueces,33.8,749328,56.25171764639273,49.31506849315065,0.0931984138610245,55.71706819902003,35.04177836867723
Ector,32.4,227378,67.60798521256932,30.136986301369852,0.0,74.26096631803303,34.79931753980096
Brazoria,34.8,50978624,37.86514682327817,63.01369863013695,9.062047377470378,25.693233861287307,32.589659956298206
Travis,35.1,1328533,35.80111616735994,67.1232876712329,0.1966201732256661,22.32283298134806,29.880913608602206
Galveston,33.2,45086307,46.51198827825462,41.095890410958944,8.009926296205219,39.81285072113614,29.639555809433432
Fort Bend,35.3,55751901,27.3731976790971,69.86301369863011,9.914354773426522,8.560700230339766,29.4460229007988
Potter,30.2,267588,75.03670751876511,0.0,0.007179822246099809,86.3914897314501,28.799556517898733
Waller,33.3,4163504,45.277482902041314,42.4657534246575,0.7028272822246172,37.796999844915476,26.988526850599197
Collin,35.5,1510436,22.130632079047178,72.6027397260274,0.22910043201781466,0.0,24.277280052681736
Midland,31.9,389736,47.95284929129303,23.2876712328767,0.02899034021965364,42.165664237878396,21.827441936991583
Lubbock,31.2,300303,53.5811645891451,13.698630136986301,0.013021351337896754,51.356263601344295,21.689305029889496
