date,avg_temp_f,solar_irradiance_wm2,demand_mean_mw,demand_peak_mw
2025-06-01,83.9765209245509,754.13,57042.541666666664,72334
2025-06-02,85.48117632095808,754.25,62127.25,76162
2025-06-03,83.89739503712573,754.35,63164.208333333336,74753
2025-06-04,83.93705677604791,754.44,60598.666666666664,73302
2025-06-05,85.7694328479042,754.52,60915.541666666664,75902
2025-06-06,87.27095749461077,754.59,64397.958333333336,75912
2025-06-07,87.80690290299401,754.65,64458.416666666664,75710
2025-06-08,88.14689768143712,754.69,63925.958333333336,76397
2025-06-09,84.51658395688622,754.72,63512.916666666664,75752
2025-06-10,85.49482730538922,754.74,61424.25,75240
2025-06-11,81.48022677365269,754.74,57299.5,69242
2025-06-12,77.31806224191617,754.74,55392.166666666664,63517
2025-06-13,83.14609689580838,754.71,58929.166666666664,75650
2025-06-14,84.33504074251496,754.68,62272.708333333336,74529
2025-06-15,82.70127279041915,754.62,60960.541666666664,73572
2025-06-16,82.27533187065868,754.32,59113.5,75437
2025-06-17,86.65072280718563,754.0,64258.833333333336,75920
2025-06-18,87.54708680718564,753.66,65805.54166666667,75851
2025-06-19,88.29319698203594,753.31,66130.25,77295
2025-06-20,88.76994480958083,752.94,67206.0,77040
2025-06-21,88.21468399999999,752.55,65377.625,76582
2025-06-22,87.61407177005988,752.14,63849.291666666664,76170
2025-06-23,87.17116260598803,751.71,65793.875,76817
2025-06-24,86.17971251736527,751.26,65311.583333333336,76587
2025-06-25,82.87906489101798,750.78,63514.833333333336,75505
2025-06-26,82.54945522874252,750.28,62693.291666666664,75475
2025-06-27,84.09113988023952,749.76,63606.833333333336,76489
2025-06-28,85.64920134131737,749.21,64323.041666666664,76668
2025-06-29,83.29056843113771,748.63,63690.333333333336,76267
2025-06-30,83.86764459401198,748.02,63992.666666666664,75994
2025-07-01,85.66291497005987,747.38,61874.166666666664,75436
2025-07-02,87.13137471616766,746.71,63235.125,74595
2025-07-03,82.81650879041915,746.01,61285.625,70576
2025-07-04,84.06433527185628,745.28,58353.0,67627
2025-07-05,85.95322888622755,744.51,57345.5,65326
2025-07-06,86.85722721437125,743.71,57785.208333333336,69511
2025-07-07,86.32402569580839,742.87,61677.666666666664,74405
2025-07-08,82.3523973508982,741.99,63097.041666666664,73463
2025-07-09,81.99473153053893,741.08,60690.25,73767
2025-07-10,86.1909111473054,740.12,62244.625,76708
2025-07-11,85.43820568622753,739.13,65026.125,76129
2025-07-12,86.69555220598802,738.1,63250.458333333336,73955
2025-07-13,84.15704087664672,737.02,59747.666666666664,71081
2025-07-14,84.18305059640718,735.9,61485.208333333336,75725
2025-07-15,86.29204458922155,734.74,64934.625,77946
2025-07-16,87.44790301317366,734.33,66032.91666666667,78536
2025-07-17,85.34006231377245,734.66,65920.0,78100
2025-07-18,85.72809915688623,734.94,65459.666666666664,77952
2025-07-19,88.09898245748502,735.18,65602.20833333333,77751
2025-07-20,88.34092185868263,735.37,65627.58333333333,77406
2025-07-21,88.03856488622755,,67207.75,79258
2025-07-22,88.24990057964072,735.59,68156.625,79751
2025-07-23,88.26256598323353,735.62,67934.58333333333,80856
2025-07-24,88.67354431137724,735.6,69267.0,81629
2025-07-25,84.41884594011977,735.52,67487.16666666667,80965
2025-07-26,83.91827305389221,735.39,64669.583333333336,75865
2025-07-27,86.79488194011977,735.2,64436.041666666664,77593
2025-07-28,88.2696658730539,734.95,67162.0,81354
2025-07-29,88.4570516502994,,68467.75,81572
2025-07-30,89.08670988742514,734.26,67524.83333333333,81707
2025-07-31,87.61988195449102,733.83,68323.20833333333,81473
2025-08-01,88.63510545149701,733.34,68566.16666666667,81455
2025-08-02,86.17772971497007,732.78,65214.791666666664,79606
2025-08-03,86.9994712766467,732.15,63209.375,77603
2025-08-04,84.39161536766467,731.47,64069.666666666664,76902
2025-08-05,85.66884238083833,730.72,65194.833333333336,80773
2025-08-06,87.1622709508982,729.9,67607.58333333333,80995
2025-08-07,88.27396384191617,729.01,68803.70833333333,82049
2025-08-08,88.49948819161676,728.06,69657.625,82468
2025-08-09,87.18183912814371,727.04,69273.04166666667,81957
2025-08-10,86.44437468742515,725.96,67361.08333333333,81217
2025-08-11,87.03631639281437,724.8,68329.29166666667,81974
2025-08-12,86.62586551856286,723.58,68262.79166666667,81389
2025-08-13,88.14385268502994,722.29,66401.875,81228
2025-08-14,89.37975928622754,720.93,68566.04166666667,82553
2025-08-15,87.97623069221557,719.5,70264.16666666667,81980
2025-08-16,87.00672926467067,717.86,67120.91666666667,79703
2025-08-17,89.35335343712576,716.01,67418.5,81806
2025-08-18,89.23879841916167,714.09,69877.25,83597
2025-08-19,84.77689732694611,712.1,69419.54166666667,82638
2025-08-20,86.65096708982037,710.04,66324.08333333333,79723
2025-08-21,85.69231037125749,707.91,66124.33333333333,79366
2025-08-22,82.84551388263473,705.71,64321.916666666664,77258
2025-08-23,84.79093512814372,703.44,63245.333333333336,77553
2025-08-24,88.09631367185628,701.1,63871.458333333336,81744
2025-08-25,87.42014054610779,698.68,66870.08333333333,82503
2025-08-26,87.1350313245509,696.2,65856.04166666667,80959
2025-08-27,85.16654360718562,693.65,64861.916666666664,79714
2025-08-28,87.15991611976048,691.03,68156.54166666667,82827
2025-08-29,87.19898099161676,688.34,66409.04166666667,80169
2025-08-30,85.87058965748503,685.58,62111.5,73297
